customer_id,address_id,branch_id,title,first_name,middle_name,last_name,ssn,phone,date_first_purchase,commute_distance_miles,profile_picture,non_resident_alien,pep_flag,citizenship_country_code,domicile_country_code,regd_ip_address,regd_device_type,gender,marital_status,race,tax_id,passport_number,driving_lic_number,voter_id,uuid,id_proof_1,id_proof_2,id_proof_3,monthly_deposit_count,monthly_deposit_amount,monthly_withdrawal_count,"monthly_withdrawal_amount",income_currency_code,monthly_income,monthly_atm_usage_count,occupation_type,employer_name,employer_industry_code,employer_address,employer_postal_code,net_worth,kyc_update_date,load_date,load_id
10000880,1627,963710,Mrs,Cathleen,,Cardenas,841-39-1103,"+1 (248)-418-2416",2010-05-27,29,"/app/framework/profile/10000880.jpg",Y,N,CAN,USA,10.10.1.0.65,IPAD,FEMALE,MARRIED,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-121,011-11-121,PASSPORT,,,10,10000,1,1000,USA,100000,0,BUSINESS,"ACME INC",IT,"Ap #214-6830 Faucibus Avenue Salem MS-52432 United States of America",202793,10000000,2017-03-01,2017-03-01,0
12345678,2103,539742,Ms,Ivana,,Whitley,109-10-1008,"+1 (407)-306-2858",2016-08-28,28,"/app/framework/profile/12345678.jpg",N,N,CAN,USA,10.10.1.0.34,IPAD,MALE,SINGLE,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-120,PASSPORT,,,5,5000,3,3000,CAN,50000,5,BUSINESS,"GLOBAL CORP",IT,"P.O. Box 524 7762 Fringilla St Wyoming ID-46318 United States of America",846193,5000000,2017-03-01,2017-03-01,0
12928233,3850,243325,Ms,Chiquita,,Whitfield,848-78-8675,"+1 (694)-687-2497",2016-08-29,20,"/app/framework/profile/12928233.jpg",Y,Y,USA,USA,10.10.1.0.52,IPAD,FEMALE,SINGLE,OTHER,011-11-121,PP-011-11-121,DL-011-11-120,VO-011-11-120,011-11-120,PASSPORT,,,8,8000,5,5000,CAN,80000,0,BUSINESS,"ACME INC",PHARMA,"8304 Elit Avenue Watson Lake QC-5687 Canada",974585,8000000,2017-03-01,2017-03-01,0
16547378,5901,501626,Mrs,Karen,,Brewer,872-58-2984,"+1 (407)-111-2748",2008-01-01,1,"/app/framework/profile/16547378.jpg",N,Y,USA,CAN,10.10.1.0.54,IPHONE,MALE,SINGLE,OTHER,011-11-120,PP-011-11-120,DL-011-11-121,VO-011-11-120,011-11-121,DRIVERS-LIC,,,7,7000,8,8000,USA,70000,5,BUSINESS,"GLOBAL CORP",IT,"Ap #498-2116 Bibendum. St. Joliet TX-81563 United States of America",685144,7000000,2017-03-01,2017-03-01,0
18293904,9375,881111,Mr,Maxwell,,Hood,281-48-7547,"+1 (693)-687-3498",2015-09-26,5,"/app/framework/profile/18293904.jpg",N,N,CAN,CAN,10.10.1.0.11,IPHONE,FEMALE,MARRIED,OTHER,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-121,011-11-121,PASSPORT,,,7,7000,1,1000,CAN,70000,5,BUSINESS,"ACME INC",IT,"833 PRINCETON AVE SW BIRMINGHAM AL-35211 United States of America",277116,7000000,2017-03-01,2017-03-01,0
18388909,8604,619921,Mrs,Maya,,Bates,273-12-8759,"+1 (424)-333-1829",2008-05-25,50,"/app/framework/profile/18388909.jpg",Y,Y,CAN,CAN,10.10.1.0.78,IPAD,MALE,SINGLE,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-120,VO-011-11-121,011-11-121,PASSPORT,,,1,1000,6,6000,CAN,10000,7,BUSINESS,"GLOBAL CORP",IT,"Ap #150-1716 Mauris St. Lake Cowichan SK-24136 Canada",493603,1000000,2017-03-01,2017-03-01,0
19389589,4683,378219,Ms,Angelica,,Morrison,433-45-4110,"+1 (407)-306-2958",2010-03-25,13,"/app/framework/profile/19389589.jpg",N,N,CAN,CAN,10.10.1.0.55,IPAD,MALE,SINGLE,AMERICAN,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-120,011-11-121,DRIVERS-LIC,,,9,9000,6,6000,USA,90000,6,SERVICE,"ACME INC",PHARMA,"7167 Lectus Av. Little Rock KS-71565 United States of America",127115,9000000,2017-03-01,2017-03-01,0
23193047,1525,522015,Mr,Judah,,Leblanc,330-44-8655,"+1 (108)-456-3959",2009-06-19,88,"/app/framework/profile/23193047.jpg",Y,N,CAN,USA,10.10.1.0.5,IPHONE,MALE,MARRIED,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-120,011-11-120,PASSPORT,,,10,10000,2,2000,CAN,100000,1,SERVICE,"ACME INC",IT,"867 STADIUM DRIVE WAREHAM MA-2571 United States of America",470773,10000000,2017-03-01,2017-03-01,0
23456789,3093,519524,Ms,Marcia,,Hewitt,739-65-2848,"+1 (308)-456-2858",2016-08-27,93,"/app/framework/profile/23456789.jpg",N,Y,USA,CAN,10.10.1.0.82,IPAD,FEMALE,SINGLE,OTHER,011-11-120,PP-011-11-121,DL-011-11-121,VO-011-11-121,011-11-120,PASSPORT,,,4,4000,1,1000,USA,40000,2,BUSINESS,"ACME INC",IT,"417 Pede. Ave Watson Lake NB-7469 Canada",292589,4000000,2017-03-01,2017-03-01,0
23578087,1234,807890,Mrs,Angela,,Pitt,012-23-7392,"+1 (308)-456-3959",2014-04-03,16,"/app/framework/profile/23578087.jpg",Y,N,USA,CAN,10.10.1.0.13,IPHONE,FEMALE,SINGLE,AMERICAN,011-11-121,PP-011-11-120,DL-011-11-121,VO-011-11-121,011-11-121,DRIVERS-LIC,,,7,7000,1,1000,USA,70000,4,BUSINESS,"GLOBAL CORP",IT,"1 HOSPITAL DR SW HUNTSVILLE AL-35801 United States of America",478027,7000000,2017-03-01,2017-03-01,0
